"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","162","182","12","0"
"05-09","228","232","5","0"
"10-14","311","289","10","0"
"15-19","502","491","14","0"
"20-24","595","694","20","0"
"25-29","581","682","36","0"
"30-34","572","577","50","0"
"35-39","544","500","33","2"
"40-44","529","497","34","1"
"45-49","532","545","63","3"
"50-54","636","647","63","0"
"55-59","556","593","95","7"
"60-64","359","393","82","10"
"65-69","198","230","81","12"
"70-74","218","180","111","26"
"75-79","218","182","149","38"
"80-84","249","195","179","65"
"85-89","150","83","92","48"
"90+","143","43","62","46"

"Datenstand 01.12.2020 21:04:23"
