"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.021,02","3.210","+15","340","+1","174",""
"Segeberg","SE","668,40","1.845","+10","79","","62",""
"Lübeck","HL","822,75","1.787","+2","201","+1","63",""
"Stormarn","OD","688,74","1.675","+2","205","+3","81","+2"
"Herzogtum Lauenburg","RZ","742,15","1.464","+6","129","+2","51","+3"
"Flensburg","FL","1.373,12","1.229","+14","72","-2","24",""
"Kiel","KI","496,07","1.228","+6","118","+1","39","+1"
"Schleswig-Flensburg","SL","612,92","1.226","+12","58","+2","19",""
"Nordfriesland","NF","706,31","1.169","+3","166","","41",""
"Ostholstein","OH","566,85","1.137","+2","167","","55","+1"
"Rendsburg-Eckernförde","RD","399,96","1.091","+8","108","+2","21",""
"Steinburg","IZ","417,22","548","+4","37","+1","6",""
"Neumünster","NMS","647,90","515","+9","46","","7",""
"Dithmarschen","HEI","289,02","385","+1","33","","7",""
"Plön","PLO","284,50","366","+3","58","","12",""
"-"
"Schleswig-Holstein","SH","651,60","18.875","+97","1.817","+11","662","+7"

"Datenstand 08.03.2021 20:05:46"
