"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","61","65","6","0"
"05-09","68","71","3","0"
"10-14","89","97","4","0"
"15-19","156","146","5","0"
"20-24","249","270","10","0"
"25-29","253","270","18","0"
"30-34","224","235","20","0"
"35-39","204","189","11","1"
"40-44","194","182","19","0"
"45-49","193","211","27","3"
"50-54","273","264","36","0"
"55-59","245","267","52","6"
"60-64","159","159","48","8"
"65-69","96","107","52","10"
"70-74","93","82","54","18"
"75-79","124","91","98","27"
"80-84","121","112","111","37"
"85-89","78","42","58","26"
"90+","76","26","31","27"

"Datenstand 19.10.2020 19:37:09"
