"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","160","181","11","0"
"05-09","224","227","5","0"
"10-14","304","281","9","0"
"15-19","491","481","14","0"
"20-24","581","684","19","0"
"25-29","577","668","35","0"
"30-34","564","571","50","0"
"35-39","532","491","33","2"
"40-44","514","487","34","1"
"45-49","523","536","64","3"
"50-54","628","635","63","0"
"55-59","551","589","95","7"
"60-64","353","386","80","10"
"65-69","198","226","79","11"
"70-74","209","177","110","26"
"75-79","216","179","148","38"
"80-84","246","193","178","64"
"85-89","147","83","91","47"
"90+","141","43","61","46"

"Datenstand 30.11.2020 20:06:52"
