"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","976,81","3.071","+21","320","+2","159",""
"Lübeck","HL","796,51","1.730","+11","198","","60",""
"Segeberg","SE","591,96","1.634","+24","73","","62",""
"Stormarn","OD","612,67","1.490","+27","180","","73",""
"Herzogtum Lauenburg","RZ","672,20","1.326","+12","110","+5","40","+2"
"Flensburg","FL","1.244,64","1.114","+17","68","","22",""
"Nordfriesland","NF","669,46","1.108","+17","160","+1","37",""
"Schleswig-Flensburg","SL","545,43","1.091","+8","51","","16",""
"Kiel","KI","438,30","1.085","+32","108","","34",""
"Ostholstein","OH","533,95","1.071","+14","164","","52",""
"Rendsburg-Eckernförde","RD","355,97","971","+15","95","","20",""
"Steinburg","IZ","400,47","526","+2","32","","5",""
"Neumünster","NMS","581,23","462","+2","43","+2","7",""
"Dithmarschen","HEI","266,50","355","+2","27","+1","7",""
"Plön","PLO","263,51","339","+5","56","","11",""
"-"
"Schleswig-Holstein","SH","599,75","17.373","+209","1.685","+11","605","+2"

"Datenstand 27.02.2021 20:08:02"
