"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.732,98","5.478","+27","521","","196",""
"Segeberg","SE","1.394,07","3.864","+24","165","+3","87",""
"Stormarn","OD","1.357,74","3.315","+21","304","+1","115",""
"Herzogtum Lauenburg","RZ","1.504,40","2.979","+21","199","","69",""
"Lübeck","HL","1.262,64","2.734","+5","249","","69",""
"Kiel","KI","1.020,28","2.518","+34","211","+1","50",""
"Rendsburg-Eckernförde","RD","760,31","2.084","+15","173","","28",""
"Ostholstein","OH","997,81","2.001","+32","216","+1","62",""
"Schleswig-Flensburg","SL","923,16","1.857","+30","74","","26",""
"Flensburg","FL","1.894,33","1.708","+4","103","","29",""
"Nordfriesland","NF","953,90","1.583","+5","198","+1","49",""
"Steinburg","IZ","988,45","1.295","+11","91","","12",""
"Neumünster","NMS","1.226,99","984","+2","77","+1","8",""
"Dithmarschen","HEI","666,70","888","+9","76","+2","11","+2"
"Plön","PLO","531,53","684","+7","84","","14",""
"-"
"Schleswig-Holstein","SH","1.169,93","33.972","+247","2.741","+10","825","+2"

"Datenstand 01.05.2021 19:06:38"
