"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","159","177","11","0"
"05-09","218","221","5","0"
"10-14","294","278","9","0"
"15-19","484","475","14","0"
"20-24","575","672","19","0"
"25-29","568","659","36","0"
"30-34","556","564","50","0"
"35-39","530","488","32","2"
"40-44","506","485","33","1"
"45-49","519","534","62","3"
"50-54","621","628","63","0"
"55-59","545","577","93","7"
"60-64","349","384","77","10"
"65-69","193","225","77","10"
"70-74","206","174","106","26"
"75-79","215","177","145","38"
"80-84","244","187","172","61"
"85-89","145","80","89","46"
"90+","141","42","61","45"

"Datenstand 28.11.2020 20:17:47"
