"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","53","56","6","0"
"05-09","63","60","3","0"
"10-14","82","84","4","0"
"15-19","149","130","5","0"
"20-24","229","255","9","0"
"25-29","235","243","18","0"
"30-34","207","216","19","0"
"35-39","185","170","10","0"
"40-44","175","167","19","0"
"45-49","177","198","26","3"
"50-54","255","241","32","0"
"55-59","227","251","51","6"
"60-64","143","145","47","8"
"65-69","88","101","52","10"
"70-74","85","80","51","18"
"75-79","115","87","93","27"
"80-84","114","106","109","37"
"85-89","76","38","54","27"
"90+","73","24","29","27"

"Datenstand 13.10.2020 19:55:15"
