"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","706","702","35","1"
"05-09","829","889","17","0"
"10-14","853","1.052","21","0"
"15-19","1.234","1.296","35","0"
"20-24","1.568","1.604","80","0"
"25-29","1.467","1.474","93","0"
"30-34","1.437","1.597","111","2"
"35-39","1.364","1.431","125","2"
"40-44","1.402","1.298","137","1"
"45-49","1.349","1.216","152","3"
"50-54","1.465","1.542","201","11"
"55-59","1.395","1.422","243","21"
"60-64","861","993","237","24"
"65-69","490","570","220","40"
"70-74","500","502","291","72"
"75-79","525","472","354","121"
"80-84","807","524","504","222"
"85-89","643","316","335","197"
"90+","678","194","234","212"

"Datenstand 28.06.2021 19:16:16"
