"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","964","980","52","1"
"05-09","1.365","1.427","26","0"
"10-14","1.549","1.752","32","0"
"15-19","1.818","1.940","52","0"
"20-24","2.114","2.228","107","0"
"25-29","1.957","2.012","137","0"
"30-34","1.899","2.121","163","2"
"35-39","1.806","1.831","180","3"
"40-44","1.829","1.688","183","4"
"45-49","1.672","1.537","177","4"
"50-54","1.740","1.820","247","17"
"55-59","1.602","1.658","291","25"
"60-64","989","1.158","270","26"
"65-69","574","656","256","47"
"70-74","546","548","313","78"
"75-79","563","512","385","126"
"80-84","860","568","543","231"
"85-89","682","337","351","204"
"90+","727","207","253","218"

"Datenstand 23.09.2021 19:11:58"
