"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","151","165","10","0"
"05-09","206","205","4","0"
"10-14","274","247","8","0"
"15-19","447","445","13","0"
"20-24","543","632","18","0"
"25-29","541","624","35","0"
"30-34","527","529","48","0"
"35-39","494","466","30","2"
"40-44","465","446","32","1"
"45-49","483","499","56","3"
"50-54","585","592","56","0"
"55-59","514","545","85","7"
"60-64","328","357","75","10"
"65-69","188","212","75","10"
"70-74","194","166","98","25"
"75-79","201","168","138","34"
"80-84","229","180","160","60"
"85-89","135","72","83","44"
"90+","133","42","60","45"

"Datenstand 24.11.2020 21:04:07"
