"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.295,52","4.073","+16","348","+3","76","+2"
"Stormarn","OD","1.229,05","2.989","+54","153","+3","71",""
"Lübeck","HL","1.131,69","2.458","+24","73","","17","+1"
"Segeberg","SE","880,69","2.431","+8","140","+1","48",""
"Kiel","KI","890,33","2.204","+9","226","+8","32",""
"Herzogtum Lauenburg","RZ","824,78","1.627","+14","91","","27",""
"Rendsburg-Eckernförde","RD","586,56","1.600","+11","133","+2","18","+1"
"Ostholstein","OH","523,48","1.050","+15","73","","9",""
"Nordfriesland","NF","553,45","916","+3","64","+3","13","+2"
"Dithmarschen","HEI","682,38","909","+14","91","+1","17",""
"Schleswig-Flensburg","SL","407,95","816","+16","58","+1","10","+3"
"Steinburg","IZ","615,16","808","+11","67","+3","13","+1"
"Neumünster","NMS","817,74","650","","37","","9",""
"Plön","PLO","400,32","515","+2","70","","9",""
"Flensburg","FL","520,65","466","+5","29","+1","7",""
"-"
"Schleswig-Holstein","SH","811,68","23.512","+202","1.653","+26","376","+10"

"Datenstand 27.12.2020 20:16:02"
