"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","987","1.001","54","1"
"05-09","1.412","1.473","27","0"
"10-14","1.602","1.810","34","0"
"15-19","1.859","1.963","52","0"
"20-24","2.144","2.261","110","0"
"25-29","1.987","2.052","143","0"
"30-34","1.929","2.157","166","2"
"35-39","1.842","1.861","185","3"
"40-44","1.855","1.714","184","4"
"45-49","1.691","1.557","180","4"
"50-54","1.765","1.841","252","18"
"55-59","1.619","1.682","296","25"
"60-64","999","1.167","273","26"
"65-69","580","663","259","47"
"70-74","551","554","318","78"
"75-79","575","516","387","128"
"80-84","868","573","548","231"
"85-89","690","340","353","204"
"90+","733","208","254","219"

"Datenstand 30.09.2021 19:37:35"
