"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","65","72","7","0"
"05-09","77","74","4","0"
"10-14","103","106","4","0"
"15-19","175","158","6","0"
"20-24","268","291","10","0"
"25-29","271","285","18","0"
"30-34","239","249","23","0"
"35-39","219","209","12","1"
"40-44","207","201","19","0"
"45-49","200","223","27","3"
"50-54","294","280","36","0"
"55-59","260","289","53","6"
"60-64","177","168","51","8"
"65-69","102","114","55","10"
"70-74","98","91","57","18"
"75-79","128","97","103","27"
"80-84","129","120","116","38"
"85-89","82","45","59","26"
"90+","79","26","32","27"

"Datenstand 22.10.2020 20:01:29"
