"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","702","700","35","1"
"05-09","828","888","15","0"
"10-14","852","1.048","21","0"
"15-19","1.233","1.294","36","0"
"20-24","1.565","1.602","79","0"
"25-29","1.464","1.472","91","0"
"30-34","1.433","1.597","109","2"
"35-39","1.354","1.424","123","2"
"40-44","1.401","1.297","136","1"
"45-49","1.346","1.215","150","3"
"50-54","1.464","1.540","199","11"
"55-59","1.393","1.420","242","21"
"60-64","860","991","234","24"
"65-69","490","570","220","40"
"70-74","499","502","290","72"
"75-79","524","472","353","121"
"80-84","807","524","504","222"
"85-89","643","316","333","196"
"90+","678","194","233","211"

"Datenstand 23.06.2021 19:26:58"
