"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","465,34","1.463","+32","174","+2","48",""
"Stormarn","OD","445,73","1.084","+18","64","","37",""
"Segeberg","SE","351,41","970","+18","69","+4","12","+4"
"Kiel","KI","278,73","690","+15","98","","13","+1"
"Lübeck","HL","300,65","653","","23","","3",""
"Herzogtum Lauenburg","RZ","316,83","625","+13","57","","19",""
"Rendsburg-Eckernförde","RD","216,66","591","+16","68","","15",""
"Dithmarschen","HEI","308,54","411","+5","53","","11","+1"
"Schleswig-Flensburg","SL","190,48","381","+7","29","","6",""
"Nordfriesland","NF","221,74","367","","28","","2",""
"Ostholstein","OH","164,52","330","+8","24","","0",""
"Steinburg","IZ","229,93","302","+3","31","+1","3",""
"Neumünster","NMS","348,48","277","","15","","3",""
"Flensburg","FL","252,50","226","+4","9","","3",""
"Plön","PLO","174,90","225","+3","44","+2","8",""
"-"
"Schleswig-Holstein","SH","296,72","8.595","+142","786","+9","183","+6"

"Datenstand 02.11.2020 20:03:40"
