"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","159","172","11","0"
"05-09","150","184","2","0"
"10-14","200","223","8","0"
"15-19","402","384","10","0"
"20-24","612","586","18","0"
"25-29","610","554","26","0"
"30-34","546","598","34","0"
"35-39","492","525","40","0"
"40-44","538","414","31","0"
"45-49","583","434","39","1"
"50-54","636","595","61","2"
"55-59","617","572","81","6"
"60-64","387","407","91","7"
"65-69","224","266","101","19"
"70-74","236","266","133","37"
"75-79","323","279","186","62"
"80-84","570","363","307","127"
"85-89","512","226","201","129"
"90+","554","160","144","139"

"Datenstand 19.02.2021 20:14:48"
