"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","22"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","405","35","13"
"10.01.2021","141","19","14"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","19"
"14.01.2021","421","41","13"
"15.01.2021","412","60","18"
"16.01.2021","352","33","19"
"17.01.2021","201","24","12"
"18.01.2021","238","28","9"
"19.01.2021","467","48","25"
"20.01.2021","483","47","20"
"21.01.2021","496","48","22"
"22.01.2021","460","41","28"
"23.01.2021","439","40","11"
"24.01.2021","156","24","9"
"25.01.2021","163","36","17"
"26.01.2021","544","44","20"
"27.01.2021","463","49","22"
"28.01.2021","382","45","15"
"29.01.2021","346","47","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","7"
"01.02.2021","130","22","5"
"02.02.2021","361","33","11"
"03.02.2021","339","30","11"
"04.02.2021","326","42","10"
"05.02.2021","260","26","5"
"06.02.2021","268","19","5"
"07.02.2021","106","14","1"
"08.02.2021","135","31","7"
"09.02.2021","312","16","7"
"10.02.2021","334","21","9"
"11.02.2021","356","26","6"
"12.02.2021","226","16","1"
"13.02.2021","190","10","2"
"14.02.2021","115","11","3"
"15.02.2021","142","11","1"
"16.02.2021","249","14","4"
"17.02.2021","246","14","5"
"18.02.2021","254","21","5"
"19.02.2021","269","19","2"
"20.02.2021","199","15","0"
"21.02.2021","112","9","0"
"22.02.2021","106","8","1"
"23.02.2021","284","19","1"
"24.02.2021","255","19","2"
"25.02.2021","250","10","0"
"26.02.2021","252","12","0"

"Datenstand 26.02.2021 20:11:04"
