"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","218","220","13","0"
"05-09","284","305","7","0"
"10-14","397","389","10","0"
"15-19","651","663","19","0"
"20-24","781","858","25","0"
"25-29","734","815","38","0"
"30-34","728","706","55","0"
"35-39","701","661","36","2"
"40-44","683","631","44","2"
"45-49","679","671","71","3"
"50-54","818","851","80","0"
"55-59","710","740","104","8"
"60-64","457","485","100","10"
"65-69","253","294","95","12"
"70-74","261","230","130","32"
"75-79","281","230","166","41"
"80-84","347","257","211","76"
"85-89","239","120","112","60"
"90+","276","69","83","55"

"Datenstand 15.12.2020 21:09:53"
