"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.573,21","8.134","+20","767","+1","240",""
"Segeberg","SE","1.987,55","5.509","+17","433","+1","100",""
"Stormarn","OD","2.041,73","4.985","+16","446","+1","137",""
"Kiel","KI","1.996,81","4.928","+17","368","+2","67",""
"Herzogtum Lauenburg","RZ","2.190,70","4.338","+3","285","+1","77",""
"Lübeck","HL","1.988,18","4.305","+18","293","","75",""
"Rendsburg-Eckernförde","RD","1.193,73","3.272","+6","232","+1","39",""
"Ostholstein","OH","1.362,33","2.732","+10","259","","67",""
"Schleswig-Flensburg","SL","1.204,04","2.422","+4","103","+1","31",""
"Flensburg","FL","2.585,29","2.331","+4","123","","29",""
"Nordfriesland","NF","1.404,63","2.331","+4","244","","56",""
"Steinburg","IZ","1.530,38","2.005","+14","171","","22",""
"Neumünster","NMS","2.237,02","1.794","+2","120","","10",""
"Dithmarschen","HEI","1.224,54","1.631","+2","135","","22",""
"Plön","PLO","965,14","1.242","+4","143","","21",""
"-"
"Schleswig-Holstein","SH","1.789,36","51.959","+141","4.122","+8","993",""

"Datenstand 06.10.2021 18:50:09"
