"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","690","686","33","1"
"05-09","808","875","15","0"
"10-14","832","1.017","21","0"
"15-19","1.212","1.269","34","0"
"20-24","1.547","1.577","72","0"
"25-29","1.438","1.455","86","0"
"30-34","1.408","1.571","102","2"
"35-39","1.336","1.414","116","2"
"40-44","1.376","1.277","128","1"
"45-49","1.326","1.194","147","3"
"50-54","1.454","1.523","190","9"
"55-59","1.379","1.407","227","20"
"60-64","855","976","228","23"
"65-69","488","565","212","40"
"70-74","494","499","274","71"
"75-79","524","472","343","119"
"80-84","803","520","495","217"
"85-89","642","315","327","194"
"90+","678","193","230","208"

"Datenstand 04.06.2021 19:02:06"
