"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","996","1.016","55","1"
"05-09","1.434","1.497","30","0"
"10-14","1.634","1.834","34","0"
"15-19","1.879","1.977","52","0"
"20-24","2.162","2.288","111","0"
"25-29","2.013","2.067","145","0"
"30-34","1.954","2.172","169","2"
"35-39","1.859","1.880","187","3"
"40-44","1.880","1.734","186","4"
"45-49","1.706","1.574","181","4"
"50-54","1.782","1.862","255","18"
"55-59","1.635","1.692","298","25"
"60-64","1.009","1.173","277","26"
"65-69","589","667","259","48"
"70-74","558","560","322","78"
"75-79","582","519","391","130"
"80-84","873","579","551","230"
"85-89","698","341","356","204"
"90+","736","208","254","220"

"Datenstand 05.10.2021 18:59:02"
