"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","887","902","48","1"
"05-09","1.207","1.265","25","0"
"10-14","1.364","1.574","27","0"
"15-19","1.703","1.767","49","0"
"20-24","1.989","2.093","98","0"
"25-29","1.833","1.855","119","0"
"30-34","1.774","1.940","144","2"
"35-39","1.685","1.717","154","2"
"40-44","1.728","1.566","170","1"
"45-49","1.559","1.451","168","4"
"50-54","1.657","1.738","234","16"
"55-59","1.533","1.586","273","24"
"60-64","954","1.102","257","25"
"65-69","542","628","245","43"
"70-74","528","529","303","77"
"75-79","549","497","371","123"
"80-84","839","546","527","227"
"85-89","661","326","347","199"
"90+","705","200","247","216"

"Datenstand 03.09.2021 18:41:32"
