"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","716,62","2.253","+33","191","+9","69","+6"
"Segeberg","SE","411,55","1.136","+14","50","+3","38","+4"
"Lübeck","HL","492,18","1.069","","130","","19",""
"Stormarn","OD","398,44","969","+2","101","+5","14","+1"
"Nordfriesland","NF","457,99","758","+10","122","","24","+3"
"Herzogtum Lauenburg","RZ","379,69","749","+5","36","+2","20","+1"
"Kiel","KI","294,89","730","+4","86","+3","26","+1"
"Ostholstein","OH","332,04","666","+1","118","+5","15","+2"
"Rendsburg-Eckernförde","RD","221,79","605","+5","62","+4","10","+2"
"Flensburg","FL","634,61","568","+21","25","+1","11",""
"Schleswig-Flensburg","SL","276,47","553","+7","29","+1","14","+2"
"Neumünster","NMS","413,90","329","+7","29","+3","4","+1"
"Steinburg","IZ","248,96","327","+2","22","","2",""
"Dithmarschen","HEI","214,70","286","","15","","4",""
"Plön","PLO","163,24","210","","44","","4",""
"-"
"Schleswig-Holstein","SH","386,92","11.208","+111","1.060","+36","274","+23"

"Datenstand 01.02.2021 20:03:31"
