"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","794","776","43","1"
"05-09","1.014","1.067","22","0"
"10-14","1.110","1.296","23","0"
"15-19","1.515","1.562","43","0"
"20-24","1.814","1.871","92","0"
"25-29","1.637","1.666","104","0"
"30-34","1.592","1.748","124","2"
"35-39","1.530","1.579","142","2"
"40-44","1.568","1.430","157","1"
"45-49","1.458","1.330","161","3"
"50-54","1.555","1.636","213","15"
"55-59","1.463","1.505","258","22"
"60-64","907","1.047","248","25"
"65-69","517","598","235","42"
"70-74","511","516","296","75"
"75-79","531","479","362","121"
"80-84","820","534","511","224"
"85-89","652","321","341","198"
"90+","689","195","238","214"

"Datenstand 14.08.2021 18:41:08"
