"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.361,04","4.279","+46","420","+3","184",""
"Segeberg","SE","1.068,72","2.950","+54","105","+1","76",""
"Stormarn","OD","985,21","2.396","+35","242","+1","104",""
"Lübeck","HL","1.021,65","2.219","+21","227","+5","64",""
"Herzogtum Lauenburg","RZ","1.058,48","2.088","+34","166","","64",""
"Kiel","KI","683,10","1.691","+25","157","","45","+1"
"Schleswig-Flensburg","SL","770,40","1.541","+4","67","","23",""
"Rendsburg-Eckernförde","RD","560,17","1.528","+35","132","","22",""
"Flensburg","FL","1.704,95","1.526","+19","98","+1","29",""
"Ostholstein","OH","719,91","1.444","+16","185","","59",""
"Nordfriesland","NF","801,17","1.326","+5","181","","47",""
"Steinburg","IZ","643,33","845","+11","59","","8",""
"Neumünster","NMS","939,78","747","+22","58","","8",""
"Dithmarschen","HEI","424,14","565","+6","49","+1","9",""
"Plön","PLO","367,67","473","+7","73","","12",""
"-"
"Schleswig-Holstein","SH","884,38","25.618","+340","2.219","+12","754","+1"

"Datenstand 02.04.2021 20:35:24"
