"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","653,96","2.056","+49","211","+2","49",""
"Stormarn","OD","636,93","1.549","+30","76","+2","48","+1"
"Segeberg","SE","505,01","1.394","+24","103","","31",""
"Lübeck","HL","484,35","1.052","+50","45","+3","5",""
"Kiel","KI","409,21","1.013","+28","130","+1","16",""
"Herzogtum Lauenburg","RZ","453,71","895","+20","64","","22",""
"Rendsburg-Eckernförde","RD","310,15","846","+5","85","+1","16",""
"Nordfriesland","NF","378,23","626","+5","49","+1","4","+1"
"Dithmarschen","HEI","407,63","543","+12","67","","14",""
"Ostholstein","OH","267,72","537","+24","35","+3","1",""
"Schleswig-Flensburg","SL","246,97","494","+1","37","","6",""
"Neumünster","NMS","510,78","406","+6","28","+1","5",""
"Steinburg","IZ","296,92","390","+2","37","","3",""
"Flensburg","FL","326,24","292","+6","12","+1","3",""
"Plön","PLO","226,20","291","+2","53","","8",""
"-"
"Schleswig-Holstein","SH","427,52","12.384","+264","1.032","+15","231","+2"

"Datenstand 19.11.2020 20:25:24"
