"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","790","772","43","1"
"05-09","1.001","1.057","21","0"
"10-14","1.103","1.286","23","0"
"15-19","1.506","1.556","43","0"
"20-24","1.804","1.863","92","0"
"25-29","1.626","1.661","104","0"
"30-34","1.582","1.739","123","2"
"35-39","1.524","1.569","142","2"
"40-44","1.564","1.426","157","1"
"45-49","1.449","1.327","161","3"
"50-54","1.550","1.634","213","15"
"55-59","1.460","1.502","258","22"
"60-64","906","1.044","248","25"
"65-69","517","598","235","42"
"70-74","508","514","296","75"
"75-79","531","479","362","121"
"80-84","819","534","511","224"
"85-89","652","320","341","198"
"90+","689","195","238","214"

"Datenstand 13.08.2021 19:36:41"
