"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","404","428","18","1"
"05-09","420","525","7","0"
"10-14","473","548","12","0"
"15-19","765","797","24","0"
"20-24","1.080","1.103","39","0"
"25-29","1.038","1.023","54","0"
"30-34","978","1.112","55","1"
"35-39","900","989","75","0"
"40-44","993","875","74","1"
"45-49","930","839","82","2"
"50-54","1.056","1.094","116","3"
"55-59","1.019","1.004","139","12"
"60-64","627","721","136","18"
"65-69","362","430","150","32"
"70-74","382","387","205","59"
"75-79","427","386","266","94"
"80-84","713","459","413","188"
"85-89","604","284","273","174"
"90+","639","178","188","185"

"Datenstand 08.04.2021 18:51:52"
