"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","90","91","7","0"
"05-09","119","106","4","0"
"10-14","154","141","4","0"
"15-19","264","245","9","0"
"20-24","343","410","14","0"
"25-29","358","385","23","0"
"30-34","317","326","28","0"
"35-39","297","286","18","2"
"40-44","282","272","19","1"
"45-49","286","300","36","3"
"50-54","380","381","37","0"
"55-59","334","374","60","6"
"60-64","220","236","55","8"
"65-69","123","140","62","10"
"70-74","124","110","61","21"
"75-79","155","117","108","29"
"80-84","170","142","128","41"
"85-89","102","53","63","27"
"90+","102","32","41","29"

"Datenstand 01.11.2020 20:36:00"
