"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","428","453","18","1"
"05-09","436","541","8","0"
"10-14","484","575","14","0"
"15-19","793","820","25","0"
"20-24","1.111","1.134","39","0"
"25-29","1.070","1.051","56","0"
"30-34","1.013","1.142","57","1"
"35-39","922","1.022","75","0"
"40-44","1.021","892","78","1"
"45-49","950","860","84","2"
"50-54","1.091","1.117","114","3"
"55-59","1.044","1.033","142","12"
"60-64","645","739","138","19"
"65-69","374","444","153","32"
"70-74","387","397","206","59"
"75-79","436","391","264","95"
"80-84","722","466","417","189"
"85-89","606","286","275","174"
"90+","643","180","188","186"

"Datenstand 10.04.2021 18:57:03"
