"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","719","728","41","1"
"05-09","872","921","19","0"
"10-14","904","1.084","23","0"
"15-19","1.339","1.383","40","0"
"20-24","1.668","1.727","85","0"
"25-29","1.539","1.557","96","0"
"30-34","1.481","1.658","118","2"
"35-39","1.403","1.476","129","2"
"40-44","1.449","1.327","142","1"
"45-49","1.379","1.256","156","3"
"50-54","1.496","1.578","207","14"
"55-59","1.425","1.453","245","22"
"60-64","885","1.014","241","25"
"65-69","500","581","224","41"
"70-74","502","506","294","75"
"75-79","526","473","357","121"
"80-84","813","530","509","224"
"85-89","650","318","339","198"
"90+","685","195","237","212"

"Datenstand 29.07.2021 18:36:07"
