"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.162,57","3.655","+59","379","","179",""
"Segeberg","SE","841,93","2.324","+36","89","","69","+1"
"Stormarn","OD","826,08","2.009","+44","221","","101",""
"Lübeck","HL","903,78","1.963","+11","213","","64",""
"Herzogtum Lauenburg","RZ","889,67","1.755","+24","153","","61",""
"Kiel","KI","576,45","1.427","+20","133","+2","42",""
"Schleswig-Flensburg","SL","705,91","1.412","+24","65","+2","22",""
"Flensburg","FL","1.521,72","1.362","+13","85","","27",""
"Rendsburg-Eckernförde","RD","472,18","1.288","+17","120","","21",""
"Ostholstein","OH","634,66","1.273","+11","176","+1","57",""
"Nordfriesland","NF","761,30","1.260","+7","174","","44",""
"Steinburg","IZ","485,74","638","+10","49","","7",""
"Neumünster","NMS","801,39","637","+8","55","","7",""
"Dithmarschen","HEI","355,83","474","+20","39","","7",""
"Plön","PLO","324,14","417","+1","69","","12",""
"-"
"Schleswig-Holstein","SH","755,82","21.894","+305","2.020","+5","720","+1"

"Datenstand 20.03.2021 20:04:29"
