"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","0","1","0","0"
"05-09","2","0","0","0"
"10-14","5","3","0","0"
"15-19","2","1","0","0"
"20-24","5","1","1","0"
"25-29","5","6","1","0"
"30-34","0","3","0","0"
"35-39","5","5","0","0"
"40-44","6","5","0","0"
"45-49","7","4","0","0"
"50-54","4","6","2","0"
"55-59","1","2","0","0"
"60-64","5","3","1","0"
"65-69","0","1","0","0"
"70-74","1","1","1","0"
"75-79","1","2","0","0"
"80-84","2","1","0","0"
"85-89","1","1","1","0"
"90+","2","0","0","0"

"Datenstand 01.01.2021 20:15:21"
