"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.566,88","8.114","+25","766","+1","240",""
"Segeberg","SE","1.981,42","5.492","+14","432","","100",""
"Stormarn","OD","2.035,17","4.969","+41","445","+2","137",""
"Kiel","KI","1.989,92","4.911","+18","366","+2","67",""
"Herzogtum Lauenburg","RZ","2.189,18","4.335","+12","284","","77",""
"Lübeck","HL","1.979,86","4.287","+9","293","","75",""
"Rendsburg-Eckernförde","RD","1.191,54","3.266","+17","231","","39",""
"Ostholstein","OH","1.357,34","2.722","+8","259","","67","-1"
"Schleswig-Flensburg","SL","1.202,05","2.418","+8","102","","31",""
"Flensburg","FL","2.580,85","2.327","+2","123","","29",""
"Nordfriesland","NF","1.402,22","2.327","+6","244","","56",""
"Steinburg","IZ","1.519,70","1.991","+5","171","","22",""
"Neumünster","NMS","2.234,53","1.792","+6","120","","10",""
"Dithmarschen","HEI","1.223,04","1.629","+6","135","+1","22",""
"Plön","PLO","962,03","1.238","+8","143","+1","21",""
"-"
"Schleswig-Holstein","SH","1.784,51","51.818","+185","4.114","+7","993","-1"

"Datenstand 05.10.2021 18:59:02"
