"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","127","127","9","0"
"05-09","121","130","2","0"
"10-14","164","176","7","0"
"15-19","324","290","7","0"
"20-24","508","469","14","0"
"25-29","500","442","22","0"
"30-34","426","483","23","0"
"35-39","401","429","32","0"
"40-44","437","323","26","0"
"45-49","476","329","32","1"
"50-54","523","474","46","1"
"55-59","487","450","64","2"
"60-64","316","339","70","5"
"65-69","188","216","80","9"
"70-74","203","229","114","23"
"75-79","278","234","151","45"
"80-84","487","305","247","86"
"85-89","444","197","167","88"
"90+","460","127","120","94"

"Datenstand 06.02.2021 20:10:49"
