"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.780,74","8.790","+41","805","+1","244","+1"
"Segeberg","SE","2.173,36","6.024","+32","469","+1","105",""
"Stormarn","OD","2.276,41","5.558","+30","478","+7","142",""
"Kiel","KI","2.209,94","5.454","+50","394","+1","68",""
"Herzogtum Lauenburg","RZ","2.385,12","4.723","+22","295","","80",""
"Lübeck","HL","2.127,65","4.607","+30","300","+1","76","+1"
"Rendsburg-Eckernförde","RD","1.332,37","3.652","+27","240","","43",""
"Ostholstein","OH","1.460,56","2.929","+7","266","","67",""
"Schleswig-Flensburg","SL","1.293,52","2.602","+18","108","","33",""
"Nordfriesland","NF","1.534,79","2.547","+39","258","","57",""
"Flensburg","FL","2.763,85","2.492","+7","128","+1","29",""
"Steinburg","IZ","1.623,50","2.127","+8","177","","28",""
"Neumünster","NMS","2.465,21","1.977","+14","130","+1","10",""
"Dithmarschen","HEI","1.337,16","1.781","+7","150","+1","23",""
"Plön","PLO","1.090,25","1.403","+18","153","+2","22",""
"-"
"Schleswig-Holstein","SH","1.951,46","56.666","+350","4.351","+16","1.027","+2"

"Datenstand 29.10.2021 19:24:26"
