"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","398","424","18","1"
"05-09","416","516","7","0"
"10-14","460","539","12","0"
"15-19","746","786","23","0"
"20-24","1.063","1.085","39","0"
"25-29","1.022","997","52","0"
"30-34","968","1.090","54","1"
"35-39","883","976","75","0"
"40-44","979","856","73","1"
"45-49","913","824","81","2"
"50-54","1.041","1.074","112","3"
"55-59","1.002","987","137","12"
"60-64","622","713","135","18"
"65-69","359","425","150","31"
"70-74","379","381","203","58"
"75-79","424","386","263","93"
"80-84","711","454","412","187"
"85-89","599","283","272","174"
"90+","639","177","188","182"

"Datenstand 07.04.2021 19:55:50"
