"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.040","1.089","56","1"
"05-09","1.563","1.633","32","0"
"10-14","1.780","1.977","39","0"
"15-19","1.979","2.082","56","0"
"20-24","2.266","2.400","118","0"
"25-29","2.124","2.182","154","0"
"30-34","2.072","2.297","179","3"
"35-39","1.987","1.993","196","4"
"40-44","1.988","1.815","192","4"
"45-49","1.809","1.667","187","4"
"50-54","1.898","1.971","266","18"
"55-59","1.732","1.768","307","25"
"60-64","1.074","1.232","290","27"
"65-69","621","707","268","50"
"70-74","586","592","335","82"
"75-79","613","542","401","130"
"80-84","917","606","571","233"
"85-89","741","352","370","211"
"90+","776","216","263","224"

"Datenstand 24.10.2021 19:42:49"
