"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","45","51","6","0"
"05-09","55","54","3","0"
"10-14","75","73","4","0"
"15-19","136","118","5","0"
"20-24","214","224","9","0"
"25-29","218","219","18","0"
"30-34","186","194","18","0"
"35-39","174","151","10","0"
"40-44","169","157","18","0"
"45-49","162","180","25","3"
"50-54","238","224","28","0"
"55-59","210","229","49","6"
"60-64","130","132","44","8"
"65-69","86","94","51","10"
"70-74","79","76","51","18"
"75-79","111","84","92","27"
"80-84","111","102","107","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 05.10.2020 20:22:55"
