"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","238","248","13","0"
"05-09","304","320","8","0"
"10-14","423","424","11","0"
"15-19","699","717","19","0"
"20-24","862","927","27","0"
"25-29","820","888","39","0"
"30-34","777","775","57","1"
"35-39","764","707","38","2"
"40-44","744","696","46","2"
"45-49","747","741","74","3"
"50-54","909","945","83","0"
"55-59","796","824","108","8"
"60-64","520","542","107","12"
"65-69","280","321","98","13"
"70-74","283","262","135","32"
"75-79","305","256","173","45"
"80-84","385","276","220","78"
"85-89","273","141","115","65"
"90+","309","80","90","63"

"Datenstand 19.12.2020 20:28:11"
