"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","927","947","50","1"
"05-09","1.286","1.344","26","0"
"10-14","1.436","1.643","28","0"
"15-19","1.763","1.851","51","0"
"20-24","2.048","2.152","102","0"
"25-29","1.895","1.944","130","0"
"30-34","1.839","2.025","153","2"
"35-39","1.739","1.761","166","3"
"40-44","1.781","1.612","177","4"
"45-49","1.608","1.501","173","4"
"50-54","1.703","1.772","237","16"
"55-59","1.565","1.618","279","25"
"60-64","967","1.126","262","25"
"65-69","555","634","247","45"
"70-74","531","535","308","77"
"75-79","554","505","377","123"
"80-84","848","555","529","227"
"85-89","670","332","351","201"
"90+","712","204","247","217"

"Datenstand 11.09.2021 18:54:41"
