"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.007,98","3.169","+20","333","+3","172","+1"
"Lübeck","HL","819,53","1.780","+12","200","","61",""
"Segeberg","SE","635,07","1.753","","77","","62",""
"Stormarn","OD","669,42","1.628","+41","199","+7","79","+1"
"Herzogtum Lauenburg","RZ","726,94","1.434","+27","127","+2","46",""
"Schleswig-Flensburg","SL","599,43","1.199","+20","56","+1","18","+1"
"Kiel","KI","483,54","1.197","+8","114","+1","38","+1"
"Flensburg","FL","1.336,25","1.196","+7","74","","24",""
"Nordfriesland","NF","696,65","1.153","+7","165","","40",""
"Ostholstein","OH","558,38","1.120","+12","166","+1","54",""
"Rendsburg-Eckernförde","RD","387,87","1.058","+21","105","+3","21",""
"Steinburg","IZ","411,89","541","+4","36","+1","6",""
"Neumünster","NMS","620,23","493","+5","46","","7",""
"Dithmarschen","HEI","286,77","382","+5","32","","7",""
"Plön","PLO","275,17","354","+2","58","","12",""
"-"
"Schleswig-Holstein","SH","637,17","18.457","+191","1.788","+19","647","+4"

"Datenstand 05.03.2021 20:33:08"
