"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.038,83","3.266","","294","","61",""
"Stormarn","OD","987,68","2.402","+79","123","+2","69","+2"
"Segeberg","SE","747,74","2.064","+35","130","","42",""
"Kiel","KI","744,10","1.842","+53","185","+3","27","+5"
"Lübeck","HL","837,02","1.818","","73","","12",""
"Herzogtum Lauenburg","RZ","710,72","1.402","+40","86","+2","25",""
"Rendsburg-Eckernförde","RD","483,92","1.320","+31","116","+2","17",""
"Dithmarschen","HEI","594,55","792","+10","85","+2","14",""
"Ostholstein","OH","394,85","792","+30","53","+1","6",""
"Nordfriesland","NF","462,82","766","","58","","4",""
"Steinburg","IZ","478,88","629","+23","50","+2","4",""
"Schleswig-Flensburg","SL","311,46","623","+7","45","+1","7",""
"Neumünster","NMS","747,29","594","+7","36","+1","8",""
"Plön","PLO","342,80","441","+7","63","","8",""
"Flensburg","FL","433,50","388","","19","","4",""
"-"
"Schleswig-Holstein","SH","660,71","19.139","+322","1.416","+16","308","+7"

"Datenstand 16.12.2020 20:43:43"
