"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.010","1.045","55","1"
"05-09","1.463","1.532","31","0"
"10-14","1.673","1.866","35","0"
"15-19","1.905","2.006","54","0"
"20-24","2.199","2.332","116","0"
"25-29","2.053","2.121","152","0"
"30-34","1.999","2.212","172","2"
"35-39","1.892","1.909","194","4"
"40-44","1.908","1.754","187","4"
"45-49","1.732","1.610","181","4"
"50-54","1.815","1.894","259","18"
"55-59","1.674","1.719","304","25"
"60-64","1.025","1.188","281","27"
"65-69","600","682","264","50"
"70-74","568","573","327","80"
"75-79","588","527","396","130"
"80-84","887","583","556","231"
"85-89","715","345","365","208"
"90+","749","211","254","221"

"Datenstand 13.10.2021 20:59:18"
