"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","704","700","35","1"
"05-09","828","889","15","0"
"10-14","853","1.052","21","0"
"15-19","1.234","1.296","36","0"
"20-24","1.565","1.603","80","0"
"25-29","1.467","1.473","93","0"
"30-34","1.436","1.597","109","2"
"35-39","1.362","1.428","124","2"
"40-44","1.401","1.298","137","1"
"45-49","1.349","1.216","152","3"
"50-54","1.465","1.542","199","11"
"55-59","1.394","1.422","243","21"
"60-64","860","993","236","24"
"65-69","490","570","220","40"
"70-74","500","502","291","72"
"75-79","525","472","354","121"
"80-84","807","524","504","222"
"85-89","643","316","335","197"
"90+","678","194","233","211"

"Datenstand 27.06.2021 19:49:41"
