"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","33","21"
"03.01.2021","202","37","8"
"04.01.2021","260","34","13"
"05.01.2021","538","54","11"
"06.01.2021","533","37","16"
"07.01.2021","478","31","11"
"08.01.2021","523","42","16"
"09.01.2021","407","34","12"
"10.01.2021","141","17","13"
"11.01.2021","259","45","10"
"12.01.2021","399","44","13"
"13.01.2021","491","45","14"
"14.01.2021","421","38","11"
"15.01.2021","412","59","10"
"16.01.2021","354","32","11"
"17.01.2021","201","23","3"
"18.01.2021","239","24","4"
"19.01.2021","468","39","13"
"20.01.2021","484","45","7"
"21.01.2021","501","40","10"
"22.01.2021","459","33","8"
"23.01.2021","442","36","5"
"24.01.2021","157","22","4"
"25.01.2021","162","30","3"
"26.01.2021","539","35","3"
"27.01.2021","464","44","6"
"28.01.2021","386","32","3"
"29.01.2021","349","29","4"
"30.01.2021","264","11","1"
"31.01.2021","179","14","2"
"01.02.2021","98","7","1"

"Datenstand 01.02.2021 20:03:31"
