"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.806,06","5.709","+26","542","+1","196",""
"Segeberg","SE","1.452,51","4.026","+17","190","","88",""
"Stormarn","OD","1.444,57","3.527","+27","320","+2","117",""
"Herzogtum Lauenburg","RZ","1.607,93","3.184","+35","211","+3","69",""
"Lübeck","HL","1.340,69","2.903","+22","255","+2","70",""
"Kiel","KI","1.134,55","2.800","+40","230","+2","53",""
"Rendsburg-Eckernförde","RD","797,89","2.187","+21","181","","30",""
"Ostholstein","OH","1.055,66","2.117","+13","226","+2","65",""
"Schleswig-Flensburg","SL","951,50","1.914","+5","79","","28",""
"Flensburg","FL","1.928,71","1.739","+3","106","","29",""
"Nordfriesland","NF","997,28","1.655","+11","205","","51",""
"Steinburg","IZ","1.063,25","1.393","+7","103","+3","16","+2"
"Neumünster","NMS","1.350,44","1.083","+5","83","","9",""
"Dithmarschen","HEI","717,00","955","+5","81","","12",""
"Plön","PLO","573,49","738","+8","95","","16",""
"-"
"Schleswig-Holstein","SH","1.237,36","35.930","+245","2.907","+15","849","+2"

"Datenstand 11.05.2021 19:01:13"
