"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.455,85","4.602","+58","449","+1","186",""
"Segeberg","SE","1.181,20","3.274","+47","115","","78",""
"Stormarn","OD","1.068,58","2.609","+36","261","","108",""
"Lübeck","HL","1.106,54","2.396","+9","231","+3","67",""
"Herzogtum Lauenburg","RZ","1.203,92","2.384","+69","174","","66",""
"Kiel","KI","765,42","1.889","+33","168","","47",""
"Rendsburg-Eckernförde","RD","613,28","1.681","+20","143","","23",""
"Schleswig-Flensburg","SL","795,90","1.601","+8","71","","23",""
"Flensburg","FL","1.764,56","1.591","+6","102","","29",""
"Ostholstein","OH","772,42","1.549","+12","192","","60",""
"Nordfriesland","NF","835,19","1.386","+7","188","","47",""
"Steinburg","IZ","733,51","961","+21","66","+1","9",""
"Neumünster","NMS","1.037,46","832","+4","63","","8",""
"Dithmarschen","HEI","477,50","636","+34","55","","9",""
"Plön","PLO","406,42","523","+12","76","","14",""
"-"
"Schleswig-Holstein","SH","961,30","27.914","+376","2.354","+5","774",""

"Datenstand 10.04.2021 18:57:03"
