"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","124","121","9","0"
"05-09","118","126","1","0"
"10-14","159","172","7","0"
"15-19","321","285","7","0"
"20-24","501","460","14","0"
"25-29","486","426","22","0"
"30-34","412","475","22","0"
"35-39","393","417","31","0"
"40-44","429","310","26","0"
"45-49","462","318","32","1"
"50-54","509","465","46","1"
"55-59","474","434","64","2"
"60-64","311","332","69","5"
"65-69","189","210","77","9"
"70-74","201","227","112","22"
"75-79","276","232","149","45"
"80-84","477","302","246","86"
"85-89","439","196","166","86"
"90+","450","126","119","93"

"Datenstand 05.02.2021 20:05:15"
