"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","709","707","37","1"
"05-09","832","894","18","0"
"10-14","857","1.056","21","0"
"15-19","1.244","1.311","36","0"
"20-24","1.580","1.616","80","0"
"25-29","1.472","1.480","94","0"
"30-34","1.441","1.607","112","2"
"35-39","1.367","1.439","127","2"
"40-44","1.408","1.303","139","1"
"45-49","1.351","1.222","152","3"
"50-54","1.469","1.545","201","12"
"55-59","1.403","1.425","243","22"
"60-64","868","1.000","239","24"
"65-69","490","571","220","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","810","524","504","222"
"85-89","644","316","335","197"
"90+","678","194","234","212"

"Datenstand 08.07.2021 18:32:37"
