"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","333","372","18","1"
"05-09","353","454","5","0"
"10-14","412","485","12","0"
"15-19","682","729","20","0"
"20-24","994","1.005","32","0"
"25-29","956","936","46","0"
"30-34","902","1.008","52","1"
"35-39","796","887","72","0"
"40-44","916","778","67","0"
"45-49","870","756","75","2"
"50-54","978","1.001","105","3"
"55-59","949","930","126","12"
"60-64","584","656","131","17"
"65-69","340","393","142","29"
"70-74","360","364","196","56"
"75-79","404","372","244","90"
"80-84","690","443","401","186"
"85-89","584","277","262","174"
"90+","626","176","181","180"

"Datenstand 31.03.2021 20:07:18"
