"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","983,17","3.091","","324","","170",""
"Lübeck","HL","802,49","1.743","+10","199","","61",""
"Segeberg","SE","611,16","1.687","+24","74","","62",""
"Stormarn","OD","627,48","1.526","+25","187","+5","76","+2"
"Herzogtum Lauenburg","RZ","690,95","1.363","+28","119","+4","43",""
"Flensburg","FL","1.288,21","1.153","+11","73","+4","23",""
"Kiel","KI","462,54","1.145","+26","111","+2","35",""
"Schleswig-Flensburg","SL","567,43","1.135","+25","53","+1","17",""
"Nordfriesland","NF","680,33","1.126","+5","163","+1","39",""
"Ostholstein","OH","538,44","1.080","+4","164","","53","+1"
"Rendsburg-Eckernförde","RD","368,07","1.004","+18","101","+4","21",""
"Steinburg","IZ","405,03","532","+4","32","","6","+1"
"Neumünster","NMS","582,49","463","","43","","7",""
"Dithmarschen","HEI","273,25","364","+5","30","","7",""
"Plön","PLO","266,62","343","+3","56","","11",""
"-"
"Schleswig-Holstein","SH","612,94","17.755","+188","1.729","+21","631","+4"

"Datenstand 02.03.2021 21:11:18"
