"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","22"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","405","35","14"
"10.01.2021","141","19","14"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","19"
"14.01.2021","421","41","13"
"15.01.2021","412","60","18"
"16.01.2021","352","33","19"
"17.01.2021","201","24","12"
"18.01.2021","238","28","10"
"19.01.2021","467","48","25"
"20.01.2021","483","48","20"
"21.01.2021","496","49","22"
"22.01.2021","460","41","29"
"23.01.2021","439","41","11"
"24.01.2021","156","24","10"
"25.01.2021","163","36","18"
"26.01.2021","543","43","22"
"27.01.2021","463","49","24"
"28.01.2021","383","46","15"
"29.01.2021","346","47","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","7"
"01.02.2021","130","23","5"
"02.02.2021","361","33","11"
"03.02.2021","339","30","12"
"04.02.2021","326","42","12"
"05.02.2021","260","28","5"
"06.02.2021","268","19","6"
"07.02.2021","106","14","1"
"08.02.2021","135","31","10"
"09.02.2021","313","16","8"
"10.02.2021","334","22","13"
"11.02.2021","356","26","7"
"12.02.2021","226","18","2"
"13.02.2021","190","10","2"
"14.02.2021","116","11","4"
"15.02.2021","142","11","1"
"16.02.2021","249","14","5"
"17.02.2021","246","15","6"
"18.02.2021","254","21","7"
"19.02.2021","268","21","3"
"20.02.2021","198","17","1"
"21.02.2021","112","12","1"
"22.02.2021","105","9","4"
"23.02.2021","284","23","1"
"24.02.2021","256","21","2"
"25.02.2021","250","11","0"
"26.02.2021","265","18","1"
"27.02.2021","201","13","0"
"28.02.2021","91","9","0"
"01.03.2021","105","11","1"
"02.03.2021","223","11","0"
"03.03.2021","250","8","0"

"Datenstand 03.03.2021 21:08:42"
