"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","22"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","405","35","14"
"10.01.2021","141","19","14"
"11.01.2021","258","45","14"
"12.01.2021","404","48","15"
"13.01.2021","489","50","19"
"14.01.2021","420","41","13"
"15.01.2021","412","60","18"
"16.01.2021","352","33","19"
"17.01.2021","201","24","12"
"18.01.2021","238","28","11"
"19.01.2021","467","49","26"
"20.01.2021","483","48","20"
"21.01.2021","496","49","22"
"22.01.2021","460","41","29"
"23.01.2021","439","41","11"
"24.01.2021","156","24","10"
"25.01.2021","163","36","18"
"26.01.2021","543","43","22"
"27.01.2021","463","49","24"
"28.01.2021","383","46","15"
"29.01.2021","346","47","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","6"
"01.02.2021","130","23","6"
"02.02.2021","360","33","11"
"03.02.2021","339","30","12"
"04.02.2021","325","43","12"
"05.02.2021","260","28","5"
"06.02.2021","267","19","6"
"07.02.2021","106","14","1"
"08.02.2021","135","31","10"
"09.02.2021","313","16","8"
"10.02.2021","333","23","13"
"11.02.2021","355","26","7"
"12.02.2021","225","18","4"
"13.02.2021","190","10","3"
"14.02.2021","116","11","4"
"15.02.2021","142","11","1"
"16.02.2021","249","14","5"
"17.02.2021","246","15","6"
"18.02.2021","254","22","7"
"19.02.2021","268","20","4"
"20.02.2021","198","19","2"
"21.02.2021","112","12","1"
"22.02.2021","105","9","4"
"23.02.2021","284","23","1"
"24.02.2021","253","21","2"
"25.02.2021","249","12","0"
"26.02.2021","265","18","1"
"27.02.2021","199","14","0"
"28.02.2021","91","10","1"
"01.03.2021","105","13","1"
"02.03.2021","223","13","0"
"03.03.2021","253","14","0"
"04.03.2021","231","6","0"
"05.03.2021","188","7","0"

"Datenstand 05.03.2021 20:33:08"
