"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.502,99","4.751","+61","457","+3","187",""
"Segeberg","SE","1.238,57","3.433","+45","127","+5","82",""
"Stormarn","OD","1.116,91","2.727","+50","271","+3","110","+1"
"Herzogtum Lauenburg","RZ","1.278,67","2.532","+54","179","+1","66",""
"Lübeck","HL","1.138,41","2.465","+22","238","+2","67",""
"Kiel","KI","811,61","2.003","+33","181","+4","48","+1"
"Rendsburg-Eckernförde","RD","639,19","1.752","+32","152","+2","24",""
"Schleswig-Flensburg","SL","816,78","1.643","+18","71","","24",""
"Flensburg","FL","1.783,42","1.608","+6","104","+1","29",""
"Ostholstein","OH","798,35","1.601","+14","194","+1","60",""
"Nordfriesland","NF","857,48","1.423","+5","191","","47",""
"Steinburg","IZ","780,84","1.023","+16","71","","10",""
"Neumünster","NMS","1.079,85","866","+10","65","","8",""
"Dithmarschen","HEI","518,05","690","+33","59","+3","9",""
"Plön","PLO","428,95","552","+8","77","","14",""
"-"
"Schleswig-Holstein","SH","1.001,08","29.069","+407","2.437","+25","785","+2"

"Datenstand 14.04.2021 19:46:28"
