"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.019,28","6.383","+17","670","","226",""
"Segeberg","SE","1.595,38","4.422","+17","368","","93",""
"Stormarn","OD","1.621,50","3.959","+5","360","+1","129","+1"
"Herzogtum Lauenburg","RZ","1.763,97","3.493","+7","258","","74",""
"Lübeck","HL","1.524,96","3.302","+19","266","+3","75","+1"
"Kiel","KI","1.321,75","3.262","+18","277","+4","59","+1"
"Rendsburg-Eckernförde","RD","901,50","2.471","+3","206","","35",""
"Ostholstein","OH","1.153,39","2.313","+1","238","-1","67",""
"Schleswig-Flensburg","SL","1.002,70","2.017","+2","88","","31",""
"Nordfriesland","NF","1.133,47","1.881","+4","214","+1","54",""
"Flensburg","FL","2.005,23","1.808","+2","111","","29",""
"Steinburg","IZ","1.162,48","1.523","+7","144","+2","21",""
"Neumünster","NMS","1.516,29","1.216","+7","91","","9",""
"Dithmarschen","HEI","786,08","1.047","","91","","20",""
"Plön","PLO","644,98","830","+2","108","","18",""
"-"
"Schleswig-Holstein","SH","1.375,00","39.927","+111","3.490","+10","940","+3"

"Datenstand 27.07.2021 18:36:01"
