"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","155","168","11","0"
"05-09","215","212","5","0"
"10-14","282","260","8","0"
"15-19","460","462","13","0"
"20-24","556","655","18","0"
"25-29","558","646","35","0"
"30-34","542","548","48","0"
"35-39","513","476","32","2"
"40-44","490","466","33","1"
"45-49","504","514","59","3"
"50-54","607","619","60","0"
"55-59","530","563","90","7"
"60-64","336","374","75","10"
"65-69","190","223","78","10"
"70-74","201","171","105","26"
"75-79","210","173","143","35"
"80-84","242","183","169","61"
"85-89","143","79","86","45"
"90+","136","42","60","45"

"Datenstand 26.11.2020 20:01:54"
