"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.308,24","4.113","+40","353","+5","79","+3"
"Stormarn","OD","1.259,48","3.063","+74","157","+4","71",""
"Lübeck","HL","1.145,96","2.489","+31","73","","18","+1"
"Segeberg","SE","889,39","2.455","+24","144","+4","52","+4"
"Kiel","KI","894,78","2.215","+11","225","-1","34","+2"
"Herzogtum Lauenburg","RZ","838,47","1.654","+27","94","+3","27",""
"Rendsburg-Eckernförde","RD","589,86","1.609","+9","136","+3","18",""
"Ostholstein","OH","522,98","1.049","-1","73","","11","+2"
"Nordfriesland","NF","554,06","917","+1","64","","13",""
"Dithmarschen","HEI","688,39","917","+8","92","+1","23","+6"
"Schleswig-Flensburg","SL","412,45","825","+9","60","+2","10",""
"Steinburg","IZ","622,78","818","+10","69","+2","13",""
"Neumünster","NMS","825,29","656","+6","38","+1","9",""
"Plön","PLO","402,65","518","+3","71","+1","9",""
"Flensburg","FL","529,59","474","+8","29","","7",""
"-"
"Schleswig-Holstein","SH","820,65","23.772","+260","1.678","+25","394","+18"

"Datenstand 28.12.2020 19:56:30"
