"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","725,53","2.281","+50","218","+2","49",""
"Stormarn","OD","676,41","1.645","+28","85","+4","51","+2"
"Segeberg","SE","547,76","1.512","+38","109","+3","31",""
"Kiel","KI","458,50","1.135","+36","133","-1","16",""
"Lübeck","HL","520,72","1.131","+28","48","+1","6","+1"
"Herzogtum Lauenburg","RZ","486,15","959","+16","70","","23",""
"Rendsburg-Eckernförde","RD","324,81","886","+6","91","+2","17",""
"Nordfriesland","NF","393,34","651","+6","50","","4",""
"Dithmarschen","HEI","424,89","566","+4","68","+1","14",""
"Ostholstein","OH","281,68","565","+11","38","","3",""
"Schleswig-Flensburg","SL","252,47","505","+2","38","+1","7","+1"
"Neumünster","NMS","543,49","432","+10","28","","6",""
"Steinburg","IZ","319,76","420","+7","39","+1","3",""
"Flensburg","FL","344,12","308","+4","14","+1","3",""
"Plön","PLO","239,41","308","+5","55","+1","8",""
"-"
"Schleswig-Holstein","SH","459,28","13.304","+251","1.084","+16","241","+4"

"Datenstand 24.11.2020 21:04:07"
