"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","107","109","9","0"
"05-09","146","136","4","0"
"10-14","186","171","5","0"
"15-19","305","302","9","0"
"20-24","406","489","17","0"
"25-29","402","458","27","0"
"30-34","384","391","32","0"
"35-39","349","336","20","2"
"40-44","330","331","22","1"
"45-49","332","350","40","3"
"50-54","433","425","40","0"
"55-59","386","431","69","6"
"60-64","251","264","60","8"
"65-69","138","159","66","10"
"70-74","147","128","71","23"
"75-79","162","128","112","31"
"80-84","189","159","141","48"
"85-89","115","58","70","32"
"90+","107","35","46","36"

"Datenstand 07.11.2020 20:27:49"
