"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","693","689","33","1"
"05-09","811","875","15","0"
"10-14","833","1.023","21","0"
"15-19","1.216","1.274","34","0"
"20-24","1.550","1.579","73","0"
"25-29","1.438","1.456","86","0"
"30-34","1.412","1.573","102","2"
"35-39","1.337","1.416","118","2"
"40-44","1.380","1.281","128","1"
"45-49","1.329","1.196","147","3"
"50-54","1.454","1.525","190","9"
"55-59","1.379","1.407","227","20"
"60-64","855","978","228","23"
"65-69","488","567","212","40"
"70-74","494","499","275","71"
"75-79","524","472","344","119"
"80-84","803","521","495","218"
"85-89","642","315","327","194"
"90+","678","193","230","208"

"Datenstand 06.06.2021 20:26:33"
