"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","741","739","41","1"
"05-09","909","965","20","0"
"10-14","963","1.136","23","0"
"15-19","1.393","1.439","41","0"
"20-24","1.715","1.766","87","0"
"25-29","1.563","1.584","97","0"
"30-34","1.505","1.682","119","2"
"35-39","1.439","1.500","133","2"
"40-44","1.486","1.355","148","1"
"45-49","1.399","1.276","157","3"
"50-54","1.511","1.592","207","15"
"55-59","1.441","1.466","251","22"
"60-64","888","1.022","243","25"
"65-69","506","589","230","42"
"70-74","505","507","294","75"
"75-79","528","473","357","121"
"80-84","816","533","509","224"
"85-89","651","318","339","198"
"90+","688","195","238","212"

"Datenstand 04.08.2021 19:32:24"
