"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","187","202","12","0"
"05-09","175","220","3","0"
"10-14","240","266","9","0"
"15-19","458","448","13","0"
"20-24","682","669","23","0"
"25-29","673","639","30","0"
"30-34","608","672","40","0"
"35-39","552","581","44","0"
"40-44","602","474","40","0"
"45-49","635","488","44","1"
"50-54","696","671","73","3"
"55-59","684","623","89","8"
"60-64","427","451","100","9"
"65-69","250","300","111","23"
"70-74","259","287","145","43"
"75-79","346","306","209","70"
"80-84","615","383","330","147"
"85-89","540","242","216","143"
"90+","589","164","156","160"

"Datenstand 28.02.2021 20:24:07"
